Lastupdated,Status_Timestamp,Zone_Number,Status_Description,KerbsideID,Location
2024-12-09T03:44:36+03:00,2024-12-09T03:24:34+03:00,7239,Present,7879,"-37.81014496183654, 144.98046793461356"
2024-12-09T03:44:36+03:00,2024-12-09T03:33:13+03:00,7239,Present,7876,"-37.8101232490888, 144.98027207286776"
2024-12-09T03:44:36+03:00,2024-12-09T03:38:17+03:00,7239,Unoccupied,7863,"-37.8100265659921, 144.97939014817743"
2024-12-09T03:44:36+03:00,2024-12-09T01:52:45+03:00,7239,Present,7880,"-37.810152184107466, 144.98053295246075"
2024-12-09T03:44:36+03:00,2024-12-09T02:49:40+03:00,7239,Present,7867,"-37.81005605999914, 144.9796594959434"
2024-12-09T03:44:36+03:00,2024-12-09T01:55:47+03:00,7239,Present,7861,"-37.8100117935802, 144.97925548457133"
2024-12-09T03:44:36+03:00,2024-12-09T03:19:32+03:00,7239,Present,7873,"-37.81010160888941, 144.9800763625421"
2024-12-09T03:44:36+03:00,2024-12-09T03:28:41+03:00,7237,Present,16425,"-37.810096455069626, 144.98135251608676"
2024-12-09T03:44:36+03:00,2024-12-09T03:41:35+03:00,7237,Present,16436,"-37.81014861994468, 144.98182133513234"
2024-12-09T03:44:36+03:00,2024-12-09T02:56:06+03:00,7237,Present,16430,"-37.81012648871534, 144.98162227087965"
2024-12-09T03:44:36+03:00,2024-12-09T03:17:42+03:00,7234,Present,16434,"-37.81016362422061, 144.98195629372287"
2024-12-09T03:44:36+03:00,2024-11-03T04:58:13+03:00,7246,Present,17556,"-37.81096279554221, 144.9876641267256"
2024-12-09T03:44:36+03:00,2024-11-03T05:57:21+03:00,7246,Present,17562,"-37.8109183099499, 144.98725915230997"
2024-12-09T03:44:36+03:00,2024-11-02T07:33:23+03:00,7246,Present,17565,"-37.81089615671439, 144.98705665464092"
2024-12-09T03:44:36+03:00,2024-11-03T08:26:56+03:00,7246,Unoccupied,17549,"-37.811014528547986, 144.98813661100445"
2024-12-09T03:44:36+03:00,2024-11-03T12:04:42+03:00,7246,Unoccupied,17566,"-37.81088877341393, 144.98698915767085"
2024-12-09T03:44:36+03:00,2024-11-03T06:30:21+03:00,7246,Unoccupied,17546,"-37.811036273881754, 144.9883345943984"
2024-12-09T03:44:36+03:00,2024-11-03T04:56:21+03:00,7246,Unoccupied,17564,"-37.810903540407466, 144.98712415497835"
2024-12-09T03:44:36+03:00,2024-11-02T07:21:07+03:00,7246,Present,17557,"-37.810955372159256, 144.9875966342649"
2024-12-09T03:44:36+03:00,2024-11-03T15:00:53+03:00,7246,Unoccupied,17551,"-37.81099970879475, 144.9880016185889"
2024-12-09T03:44:36+03:00,2024-11-03T04:43:42+03:00,7246,Unoccupied,17553,"-37.810984950885526, 144.98786661742378"
2024-12-09T03:44:36+03:00,2024-11-03T10:12:12+03:00,7246,Unoccupied,17550,"-37.81100711352086, 144.9880691171183"
